ITEM,CONDITION,SET,ORDER,FORM TEXT,PICTURE,AUDIO,QUESTION,TYPE,ANSWERS
1,unconstraining_NP2,1,1,The editor saw the reporter.,,,Did the editor see someone?,Radio,Yes#No#Maybe
1,constraining_NP2,1,1,The editor hired the reporter.,,,Did the editor see someone?,Radio,Yes#No#Maybe
1,constraining_RCNP,1,1,The editor hired the senator.,,,Did the editor see someone?,Radio,Yes#No#Maybe
2,unconstraining_NP2,1,1,The accountant contacted the executive.,,,Did the accountant contact someone?,Radio,Yes#No#Maybe
2,unconstraining_RCNP,1,1,The accountant contacted the secretary.,,,Did the accountant contact someone?,Radio,Yes#No#Maybe
2,constraining_NP2,1,1,The accountant wrote a report for the executive.,,,Did the accountant contact someone?,Radio,Yes#No#Maybe
2,constraining_RCNP,1,1,The accountant wrote a report for the secretary.,,,Did the accountant contact someone?,Radio,Yes#No#Maybe
3,constraining_RCNP,1,1,The leading lady shared a scene with the comedian.,,,Did the leading lady forget someone?,Radio,Yes#No#Maybe
3,constraining_RCNP,2,1,The leading lady shared a scene with the comedian.,,,Enter a number between 1 and 100.,Free,Please type your number here
3,constraining_RCNP,2,2,The leading lady shared a scene with the comedian.,,,Write a short story for us.,Free,Please write your short story here
3,constraining_NP2,1,1,The leading lady shared a scene with the comedian.,,,Did the leading lady forget someone?,Radio,Yes#No#Maybe
3,constraining_NP2,2,1,The leading lady shared a scene with the comedian.,,,Enter a number between 1 and 100.,Free,Please type your number here
3,constraining_NP2,2,2,The leading lady shared a scene with the comedian.,,,Write a short story for us.,Free,Please write your story here
3,unconstraining_RCNP,1,1,The leading lady shared a scene with the comedian.,,,Did the leading lady forget someone?,Radio,Yes#No#Maybe
3,unconstraining_RCNP,2,1,The leading lady shared a scene with the comedian.,,,Enter a number between 1 and 100.,Free,Please type your number here
3,unconstraining_RCNP,2,2,The leading lady shared a scene with the comedian.,,,Write a short story for us.,Free,Please write your story here
3,unconstraining_NP2,1,1,The leading lady shared a scene with the comedian.,,,Did the leading lady forget someone?,Radio,Yes#No#Maybe
3,unconstraining_NP2,2,1,The leading lady shared a scene with the comedian.,,,Enter a number between 1 and 100.,Free,Please type your number here
3,unconstraining_NP2,2,2,The leading lady shared a scene with the comedian.,,,Write a short story for us.,Free,Please write your story here
